Actual CPI,Forecast CPI
91.1,80.52388611317507
85.6,80.5238860510526
86.1,80.52388598077728
87.2,80.52388590197897
88.7,80.52388583144275
89.3,80.52388577603628
89.4,80.52388572206937
89.7,80.52388565965911
89.9,80.52388559622057
91.3,80.5238855404342
91.4,80.52388549110049
93.9,80.52388544420813
95.3,80.52388539774452
97.0,80.52388535029341
97.3,80.52388530367492
97.2,80.52388526288762
97.6,80.52388522818399
96.9,80.52388519357424
96.6,80.5238851564393
96.0,80.5238851211616
96.6,80.52388509116575
97.7,80.52388506439092
97.6,80.5238850379834
98.8,80.52388501177627
100.0,80.52388498669987
99.9,80.52388496366682
100.2,80.52388494345614
100.5,80.52388492528706
100.4,80.52388490711964
100.1,80.5238848887046
100.0,80.52388487204658
101.9,80.52388485805511
100.6,80.52388484526973
100.7,80.52388483240613
99.5,80.52388481988805
99.9,80.52388480854002
102.3,80.52388479851277
103.1,80.52388478954457
102.6,80.52388478116079
103.0,80.52388477289678
103.4,80.52388476495722
103.3,80.52388475804543
103.4,80.52388475222307
58.3,80.52388474674586
59.4,80.5238847412079
60.3,80.52388473599981
61.1,80.52388473151588
61.2,80.52388472763477
61.5,80.52388472405683
61.2,80.52388472062984
61.3,80.52388471735398
61.2,80.52388471437703
61.9,80.52388471186359
61.9,80.52388470971327
62.1,80.5238847076327
62.5,80.5238847055528
62.9,80.52388470369378
64.1,80.52388470218112
64.4,80.52388470087848
64.9,80.52388469962673
64.9,80.5238846984195
66.6,80.52388469732699
64.1,80.52388469640019
65.4,80.5238846956383
64.9,80.52388469496819
65.4,80.52388469430434
65.7,80.52388469366308
65.6,80.52388469313665
65.6,80.5238846927436
65.3,80.52388469240091
68.3,80.52388469205042
68.7,80.52388469172013
68.2,80.52388469145512
69.6,80.52388469125835
68.4,80.52388469110291
68.2,80.52388469095881
70.2,80.5238846908138
69.3,80.52388469068813
70.8,80.52388469061006
71.7,80.52388469057107
72.4,80.52388469053382
74.1,80.52388469048519
73.2,80.52388469044784
74.9,80.5238846904398
74.9,80.52388469045171
76.1,80.52388469046572
75.1,80.52388469047517
76.8,80.52388469048506
75.7,80.52388469050513
75.8,80.52388469053984
76.5,80.5238846905805
76.4,80.52388469061447
76.7,80.52388469064238
78.0,80.52388469067587
79.4,80.52388469071937
80.0,80.52388469076499
80.3,80.52388469080519
81.3,80.52388469084109
80.4,80.52388469087786
82.6,80.52388469091822
70.9,80.52388469096061
70.9,80.52388469100069
70.9,80.52388469103585
69.5,80.52388469106862
68.3,80.52388469110345
68.0,80.5238846911402
68.5,80.5238846911747
68.1,80.52388469120493
68.3,80.52388469123304
69.5,80.52388469126157
70.0,80.52388469129056
69.8,80.52388469131824
70.7,80.5238846913433
70.8,80.52388469136596
71.7,80.52388469138776
